pertSize,reactionTime,initialResponse,subID,blockNo,speed,leftResponse,rightResponse,noResponse
-150,1.5650039807515,1,3,5,0,0,1,0
25,6.82299925959524,-1,4,1,0,1,0,0
-50,4.94300592696527,1,4,1,0,0,1,0
-200,4.83600263977132,1,4,1,0,0,1,0
150,3.31700530147646,1,4,1,0,0,1,0
300,3.20099661827408,-1,4,1,0,1,0,0
0,4.89000614011456,1,4,1,0,0,1,0
-300,2.31400361955457,1,4,1,0,0,1,0
50,4.75300659382629,-1,4,1,0,1,0,0
-100,4.61899668777187,-1,4,1,0,1,0,0
0,6.88100179803587,-1,4,1,0,1,0,0
200,3.30300373864156,-1,4,1,0,1,0,0
-150,1.98800079131615,1,4,1,0,0,1,0
-100,3.13500327992369,1,4,1,0,0,1,0
-25,5.85000078952726,1,4,1,0,0,1,0
50,5.465004052523,-1,4,1,0,1,0,0
200,2.53600247872237,-1,4,1,0,1,0,0
-150,3.23299659443001,1,4,1,0,0,1,0
-300,1.91900029468525,1,4,1,0,0,1,0
25,5.12900401317893,1,4,1,0,0,1,0
0,6.36999752974953,1,4,1,0,0,1,0
300,1.72800518870645,-1,4,1,0,1,0,0
-50,6.48099889588775,1,4,1,0,0,1,0
100,4.26500049102469,-1,4,1,0,1,0,0
0,7.42100357043819,1,4,1,0,0,1,0
-200,2.32600249278767,1,4,1,0,0,1,0
150,3.14200192320277,1,4,1,0,0,1,0
100,4.19199880350061,1,4,1,0,0,1,0
200,1.95100512576028,-1,4,1,0,1,0,0
0,4.4730012443033,-1,4,1,0,1,0,0
-100,2.64100602376129,1,4,1,0,0,1,0
50,6.38400524746976,-1,4,1,0,1,0,0
-300,1.73900056850835,1,4,1,0,0,1,0
0,5.99100205993454,1,4,1,0,0,1,0
-25,5.24199839782523,-1,4,1,0,1,0,0
300,1.68499876236456,-1,4,1,0,1,0,0
150,2.53900642132794,-1,4,1,0,1,0,0
-200,2.03299920904101,1,4,1,0,0,1,0
-50,4.04100652253692,-1,4,1,0,1,0,0
25,4.72599691640789,-1,4,1,0,1,0,0
100,4.55400378560444,-1,4,1,0,1,0,0
150,6.15200538706267,-1,4,1,0,1,0,0
-200,1.90600390505278,1,4,1,0,0,1,0
0,3.99000458776572,1,4,1,0,0,1,0
100,3.48100185977819,1,4,1,0,0,1,0
-50,6.33700549840432,1,4,1,0,0,1,0
300,2.37100072765315,-1,4,1,0,1,0,0
0,4.86400591218262,1,4,1,0,0,1,0
